t A
0 0
0.0302 0.3
0.0594 0.6
0.0878 0.9
0.1153 1.2
0.1421 1.5
0.168 1.8
0.1931 2.1
0.2175 2.4
0.2411 2.7
0.264 3
0.2863 3.3
0.3079 3.6
0.3288 3.9
0.3491 4.2
0.3688 4.5
0.3879 4.8
0.4064 5.1
0.4244 5.4
0.4418 5.7
0.4587 6
0.4752 6.3
0.4911 6.6
0.5065 6.9
0.5215 7.2
0.536 7.5
0.5501 7.8
0.5637 8.1
0.577 8.4
0.5899 8.7
0.6023 9
0.6144 9.3
0.6262 9.6
0.6375 9.9
0.6486 10.2
0.6593 10.5
0.6697 10.8
0.6798 11.1
0.6895 11.4
0.699 11.7
0.7082 12
0.7171 12.3
0.7258 12.6
0.7342 12.9
0.7423 13.2
0.7502 13.5
0.7579 13.8
0.7653 14.1
0.7725 14.4
0.7795 14.7
0.7863 15
0.7929 15.3
0.7993 15.6
0.8054 15.9
0.8114 16.2
0.8173 16.5
0.8229 16.8
0.8284 17.1
0.8337 17.4
0.8389 17.7
0.8439 18
0.8487 18.3
0.8534 18.6
0.858 18.9
0.8624 19.2
0.8667 19.5
0.8709 19.8
0.8749 20.1
0.8788 20.4
0.8826 20.7
0.8863 21
0.8899 21.3
0.8934 21.6
0.8967 21.9
0.9 22.2
0.9032 22.5
0.9062 22.8
0.9092 23.1
0.9121 23.4
0.9149 23.7
0.9176 24
0.9203 24.3
0.9228 24.6
0.9253 24.9
0.9277 25.2
0.9301 25.5
0.9323 25.8
0.9345 26.1
0.9367 26.4
0.9387 26.7
0.9407 27
0.9427 27.3
0.9446 27.6
0.9464 27.9
0.9482 28.2
0.9499 28.5
0.9516 28.8
0.9532 29.1
0.9548 29.4
0.9563 29.7
0.9578 30
0.9592 30.3
0.9606 30.6
0.9619 30.9
0.9632 31.2
0.9645 31.5
0.9657 31.8
0.9669 32.1
0.9681 32.4
0.9692 32.7
0.9703 33
0.9714 33.3
0.9724 33.6
0.9734 33.9
0.9744 34.2
0.9753 34.5
0.9762 34.8
0.9771 35.1
0.9779 35.4
0.9788 35.7
0.9796 36
0.9804 36.3
0.9811 36.6
0.9818 36.9
0.9826 37.2
0.9832 37.5
0.9839 37.8
0.9846 38.1
0.9852 38.4
0.9858 38.7
0.9864 39
0.987 39.3
0.9875 39.6
0.9881 39.9
0.9886 40.2
0.9891 40.5
0.9896 40.8
0.9901 41.1
0.9905 41.4
0.991 41.7
0.9914 42
0.9919 42.3
0.9923 42.6
0.9927 42.9
0.9931 43.2
0.9934 43.5
0.9938 43.8
0.9941 44.1
0.9945 44.4
0.9948 44.7
0.9951 45
0.9955 45.3
0.9958 45.6
0.9961 45.9
0.9963 46.2
0.9966 46.5
0.9969 46.8
0.9971 47.1
0.9974 47.4
0.9976 47.7
0.9979 48
0.9981 48.3
0.9983 48.6
0.9986 48.9
0.9988 49.2
0.999 49.5
0.9992 49.8
0.9994 50.1
0.9995 50.4
0.9997 50.7
0.9999 51
1.0001 51.3
1.0002 51.6
1.0004 51.9
1.0006 52.2
1.0007 52.5
1.0009 52.8
1.001 53.1
1.0011 53.4
1.0013 53.7
1.0014 54
1.0015 54.3
1.0016 54.6
1.0018 54.9
1.0019 55.2
