         t	   A 
	 0         0
    0.0302    0.3000
    0.0594    0.6000
    0.0878    0.9000
    0.1153    1.2000
    0.1421    1.5000
    0.1680    1.8000
    0.1931    2.1000
    0.2175    2.4000
    0.2411    2.7000
    0.2640    3.0000
    0.2863    3.3000
    0.3079    3.6000
    0.3288    3.9000
    0.3491    4.2000
    0.3688    4.5000
    0.3879    4.8000
    0.4064    5.1000
    0.4244    5.4000
    0.4418    5.7000
    0.4587    6.0000
    0.4752    6.3000
    0.4911    6.6000
    0.5065    6.9000
    0.5215    7.2000
    0.5360    7.5000
    0.5501    7.8000
    0.5637    8.1000
    0.5770    8.4000
    0.5899    8.7000
    0.6023    9.0000
    0.6144    9.3000
    0.6262    9.6000
    0.6375    9.9000
    0.6486   10.2000
    0.6593   10.5000
    0.6697   10.8000
    0.6798   11.1000
    0.6895   11.4000
    0.6990   11.7000
    0.7082   12.0000
    0.7171   12.3000
    0.7258   12.6000
    0.7342   12.9000
    0.7423   13.2000
    0.7502   13.5000
    0.7579   13.8000
    0.7653   14.1000
    0.7725   14.4000
    0.7795   14.7000
    0.7863   15.0000
    0.7929   15.3000
    0.7993   15.6000
    0.8054   15.9000
    0.8114   16.2000
    0.8173   16.5000
    0.8229   16.8000
    0.8284   17.1000
    0.8337   17.4000
    0.8389   17.7000
    0.8439   18.0000
    0.8487   18.3000
    0.8534   18.6000
    0.8580   18.9000
    0.8624   19.2000
    0.8667   19.5000
    0.8709   19.8000
    0.8749   20.1000
    0.8788   20.4000
    0.8826   20.7000
    0.8863   21.0000
    0.8899   21.3000
    0.8934   21.6000
    0.8967   21.9000
    0.9000   22.2000
    0.9032   22.5000
    0.9062   22.8000
    0.9092   23.1000
    0.9121   23.4000
    0.9149   23.7000
    0.9176   24.0000
    0.9203   24.3000
    0.9228   24.6000
    0.9253   24.9000
    0.9277   25.2000
    0.9301   25.5000
    0.9323   25.8000
    0.9345   26.1000
    0.9367   26.4000
    0.9387   26.7000
    0.9407   27.0000
    0.9427   27.3000
    0.9446   27.6000
    0.9464   27.9000
    0.9482   28.2000
    0.9499   28.5000
    0.9516   28.8000
    0.9532   29.1000
    0.9548   29.4000
    0.9563   29.7000
    0.9578   30.0000
    0.9592   30.3000
    0.9606   30.6000
    0.9619   30.9000
    0.9632   31.2000
    0.9645   31.5000
    0.9657   31.8000
    0.9669   32.1000
    0.9681   32.4000
    0.9692   32.7000
    0.9703   33.0000
    0.9714   33.3000
    0.9724   33.6000
    0.9734   33.9000
    0.9744   34.2000
    0.9753   34.5000
    0.9762   34.8000
    0.9771   35.1000
    0.9779   35.4000
    0.9788   35.7000
    0.9796   36.0000
    0.9804   36.3000
    0.9811   36.6000
    0.9818   36.9000
    0.9826   37.2000
    0.9832   37.5000
    0.9839   37.8000
    0.9846   38.1000
    0.9852   38.4000
    0.9858   38.7000
    0.9864   39.0000
    0.9870   39.3000
    0.9875   39.6000
    0.9881   39.9000
    0.9886   40.2000
    0.9891   40.5000
    0.9896   40.8000
    0.9901   41.1000
    0.9905   41.4000
    0.9910   41.7000
    0.9914   42.0000
    0.9919   42.3000
    0.9923   42.6000
    0.9927   42.9000
    0.9931   43.2000
    0.9934   43.5000
    0.9938   43.8000
    0.9941   44.1000
    0.9945   44.4000
    0.9948   44.7000
    0.9951   45.0000
    0.9955   45.3000
    0.9958   45.6000
    0.9961   45.9000
    0.9963   46.2000
    0.9966   46.5000
    0.9969   46.8000
    0.9971   47.1000
    0.9974   47.4000
    0.9976   47.7000
    0.9979   48.0000
    0.9981   48.3000
    0.9983   48.6000
    0.9986   48.9000
    0.9988   49.2000
    0.9990   49.5000
    0.9992   49.8000
    0.9994   50.1000
    0.9995   50.4000
    0.9997   50.7000
    0.9999   51.0000
    1.0001   51.3000
    1.0002   51.6000
    1.0004   51.9000
    1.0006   52.2000
    1.0007   52.5000
    1.0009   52.8000
    1.0010   53.1000
    1.0011   53.4000
    1.0013   53.7000
    1.0014   54.0000
    1.0015   54.3000
    1.0016   54.6000
    1.0018   54.9000
    1.0019   55.2000
