t level outflow out_valve setpoint in_valve error
0.1615 0 0 0 0.5 0.6 0.5
0.2649 0 0 0 0.5 0.6 0.5
0.3689 0 0 0 0.5 0.6 0.5
0.4724 0 0 0 0.5 0.6 0.5
0.5754 0 0 0 0.5 0.6 0.5
0.6835 0 0 0 0.5 0.6 0.5
0.7854 0 0 0 0.5 0.6 0.5
0.8889 0 0 0 0.5 0.6 0.5
0.9959 0 0 0 0.5 0.6 0.5
1.1065 0 0 0 0.5 0.6 0.5
1.212 0 0 0 0.5 0.6 0.5
1.3163 0 0 0 0.5 0.6 0.5
1.4237 0 0 0 0.5 0.6 0.5
1.5359 0 0 0 0.5 0.6 0.5
1.642 0 0 0 0.5 0.6 0.5
1.7584 0.002 0 0 0.5 0.6 0.498
1.8624 0.009 0 0 0.5 0.6 0.491
1.9659 0.008 0 0 0.5 0.6 0.492
2.0684 0.009 0 0 0.5 0.6 0.491
2.1864 0.013 0 0 0.5 0.6 0.487
2.303 0.018 0 0 0.5 0.6 0.482
2.4075 0.015 0 0 0.5 0.6 0.485
2.515 0.018 0 0 0.5 0.6 0.482
2.6211 0.018 0 0 0.5 0.6 0.482
2.7278 0.019 0 0 0.5 0.6 0.481
2.8325 0.021 0 0 0.5 0.6 0.479
2.9581 0.022 0 0 0.5 0.6 0.478
3.0715 0.024 0 0 0.5 0.6 0.476
3.1748 0.027 0 0 0.5 0.6 0.473
3.2812 0.03 0 0 0.5 0.6 0.47
3.4029 0.031 0 0 0.5 0.6 0.469
3.5056 0.031 0 0 0.5 0.6 0.469
3.6122 0.033 0 0 0.5 0.6 0.467
3.7155 0.037 0 0 0.5 0.6 0.463
3.845 0.036 0 0 0.5 0.6 0.464
3.9526 0.037 0 0 0.5 0.6 0.463
4.0546 0.039 0 0 0.5 0.6 0.461
4.1616 0.041 0 0 0.5 0.6 0.459
4.266 0.042 0 0 0.5 0.6 0.458
4.3805 0.044 0 0 0.5 0.6 0.456
4.4826 0.046 0 0 0.5 0.6 0.454
4.5866 0.048 0 0 0.5 0.6 0.452
4.6915 0.05 0 0 0.5 0.6 0.45
4.8001 0.051 0 0 0.5 0.6 0.449
4.9045 0.052 0 0 0.5 0.6 0.448
5.0167 0.053 0 0 0.5 0.6 0.447
5.124 0.056 0 0 0.5 0.6 0.444
5.255 0.057 0 0 0.5 0.6 0.443
5.3595 0.058 0 0 0.5 0.6 0.442
5.4621 0.06 0 0 0.5 0.6 0.44
5.5645 0.062 0 0 0.5 0.6 0.438
5.6695 0.063 0 0 0.5 0.6 0.437
5.7705 0.065 0 0 0.5 0.6 0.435
5.8747 0.067 0 0 0.5 0.6 0.433
6.0035 0.069 0 0 0.5 0.6 0.431
6.1086 0.07 0 0 0.5 0.6 0.43
6.2595 0.071 0 0 0.5 0.6 0.429
6.3685 0.074 0 0 0.5 0.6 0.426
6.475 0.075 0 0 0.5 0.6 0.425
6.5803 0.077 0 0 0.5 0.6 0.423
6.6834 0.079 0 0 0.5 0.6 0.421
6.7855 0.08 0 0 0.5 0.6 0.42
6.889 0.082 0 0 0.5 0.6 0.418
6.9955 0.084 0 0 0.5 0.6 0.416
7.1005 0.085 0 0 0.5 0.6 0.415
7.2058 0.086 0 0 0.5 0.6 0.414
7.3096 0.087 0 0 0.5 0.6 0.413
7.4135 0.09 0 0 0.5 0.6 0.41
7.5191 0.091 0 0 0.5 0.6 0.409
7.6215 0.092 0 0 0.5 0.6 0.408
7.7255 0.094 0 0 0.5 0.6 0.406
