t level outflow out_valve setpoint in_valve delta_t error
1.0429 0 0 0 0.5 0.6 0.3457 0.5
1.7388 0 0.001 0 0.5 0.6 0.6948 0.5
2.4326 0.012 0 0 0.5 0.6 0.6991 0.488
3.1216 0.02 0 0 0.5 0.6 0.6892 0.48
3.8138 0.032 0 0 0.5 0.6 0.69 0.468
4.5098 0.041 0 0 0.5 0.6 0.6952 0.459
5.2029 0.052 0 0 0.5 0.6 0.6901 0.448
5.8981 0.062 0 0 0.5 0.6 0.6989 0.438
6.5941 0.072 0 0 0.5 0.6 0.6944 0.428
7.2876 0.082 0 0 0.5 0.6 0.6945 0.418
7.9784 0.093 0 0 0.5 0.6 0.6919 0.407
8.6724 0.102 0 0 0.5 0.6 0.693 0.398
9.3739 0.113 0 0 0.5 0.6 0.6977 0.387
10.0711 0.123 0 0 0.5 0.6 0.7007 0.377
10.7695 0.134 0 0 0.5 0.6 0.6971 0.366
11.4711 0.144 0 0 0.5 0.6 0.6989 0.356
12.1644 0.154 0 0 0.5 0.6 0.6993 0.346
12.8557 0.164 0 0 0.5 0.6 0.6927 0.336
13.5619 0.175 0 0 0.5 0.6 0.7001 0.325
14.2545 0.185 0 0 0.5 0.6 0.6953 0.315
14.9515 0.195 0 0 0.5 0.6 0.6984 0.305
15.6415 0.206 0 0 0.5 0.6 0.69 0.294
16.3321 0.216 0 0 0.5 0.6 0.6904 0.284
17.0267 0.226 0 0 0.5 0.6 0.6945 0.274
17.7192 0.236 0 0 0.5 0.6 0.6914 0.264
18.4089 0.247 0 0 0.5 0.6 0.6913 0.253
19.1134 0.257 0 0 0.5 0.6 0.6981 0.243
19.8029 0.267 0 0 0.5 0.6 0.6974 0.233
20.4958 0.278 0 0 0.5 0.6 0.6894 0.222
21.1992 0.288 0 0 0.5 0.6 0.6969 0.212
21.8899 0.298 0 0 0.5 0.6 0.6988 0.202
22.5816 0.308 0 0 0.5 0.6 0.6909 0.192
23.2744 0.319 0 0 0.5 0.6 0.6938 0.181
23.9656 0.329 0 0 0.5 0.6 0.6908 0.171
24.6581 0.339 0 0 0.5 0.6 0.691 0.161
25.3525 0.349 0 0 0.5 0.6 0.6959 0.151
26.045 0.36 0 0 0.5 0.6 0.6909 0.14
26.8472 0.371 0 0 0.5 0.6 0.7959 0.129
27.6444 0.382 0 0 0.5 0.6 0.6991 0.118
28.3339 0.393 0 0 0.5 0.6 0.7962 0.107
29.0317 0.404 0 0 0.5 0.6 0.6941 0.096
29.7229 0.414 0 0 0.5 0.6 0.6945 0.086
30.4268 0.424 0 0 0.5 0.6 0.7015 0.076
31.1159 0.435 0 0 0.5 0.6 0.6942 0.065
31.8082 0.445 0 0 0.5 0.6 0.6889 0.055
32.4986 0.455 0 0 0.5 0.6 0.6914 0.045
33.1984 0.465 0 0 0.5 0.6 0.6919 0.035
33.8907 0.476 0 0 0.5 0.6 0.6994 0.024
34.5808 0.486 0 0 0.5 0.6 0.6909 0.014
35.2732 0.496 0 0 0.5 0.6 0.6908 0.004
35.9717 0.506 0 0.2466 0.5 0.6 0.6996 -0.006
36.665 0.517 0.166 0.6986 0.5 0.6 0.6905 -0.017
37.357 0.522 0.474 0.9041 0.5 0.6 0.6946 -0.022
38.0468 0.521 0.639 0.863 0.5 0.6 0.6899 -0.021
38.7397 0.514 0.621 0.5753 0.5 0.6 0.6928 -0.014
39.4284 0.509 0.429 0.3699 0.5 0.6 0.691 -0.009
40.1223 0.509 0.275 0.3699 0.5 0.6 0.6907 -0.009
40.8126 0.512 0.264 0.4932 0.5 0.6 0.6909 -0.012
41.5048 0.517 0.346 0.6986 0.5 0.6 0.6946 -0.017
42.1967 0.519 0.492 0.7808 0.5 0.6 0.6891 -0.019
42.8858 0.517 0.557 0.6986 0.5 0.6 0.6912 -0.017
43.5781 0.514 0.505 0.5753 0.5 0.6 0.6901 -0.014
44.2682 0.512 0.416 0.4932 0.5 0.6 0.6912 -0.012
44.961 0.512 0.358 0.4932 0.5 0.6 0.6934 -0.012
45.653 0.513 0.353 0.5342 0.5 0.6 0.69 -0.013
46.3454 0.515 0.38 0.6164 0.5 0.6 0.6928 -0.015
47.0367 0.517 0.437 0.6986 0.5 0.6 0.691 -0.017
47.7373 0.516 0.496 0.6575 0.5 0.6 0.7021 -0.016
48.4273 0.514 0.472 0.5753 0.5 0.6 0.6913 -0.014
49.1267 0.513 0.417 0.5342 0.5 0.6 0.6959 -0.013
49.8196 0.513 0.384 0.5342 0.5 0.6 0.6931 -0.013
50.5149 0.514 0.383 0.5753 0.5 0.6 0.696 -0.014
51.2097 0.515 0.41 0.6164 0.5 0.6 0.6931 -0.015
51.9018 0.515 0.44 0.6164 0.5 0.6 0.6951 -0.015
52.595 0.515 0.442 0.6164 0.5 0.6 0.6927 -0.015
53.2849 0.515 0.441 0.6164 0.5 0.6 0.6907 -0.015
53.9777 0.514 0.441 0.5753 0.5 0.6 0.6895 -0.014
54.6723 0.513 0.414 0.5342 0.5 0.6 0.695 -0.013
55.363 0.514 0.384 0.5753 0.5 0.6 0.6913 -0.014
56.0585 0.515 0.41 0.6164 0.5 0.6 0.6979 -0.015
56.749 0.515 0.439 0.6164 0.5 0.6 0.6911 -0.015
57.4389 0.515 0.442 0.6164 0.5 0.6 0.6876 -0.015
58.1336 0.514 0.441 0.5753 0.5 0.6 0.6949 -0.014
58.8275 0.514 0.414 0.5753 0.5 0.6 0.6954 -0.014
59.5204 0.514 0.412 0.5753 0.5 0.6 0.6913 -0.014
60.2111 0.514 0.412 0.5753 0.5 0.6 0.6916 -0.014
60.9022 0.514 0.412 0.5753 0.5 0.6 0.6909 -0.014
61.5919 0.515 0.412 0.6164 0.5 0.6 0.6897 -0.015
62.3 0.515 0.439 0.6164 0.5 0.6 0.6961 -0.015
62.991 0.514 0.442 0.5753 0.5 0.6 0.7021 -0.014
63.6838 0.514 0.415 0.5753 0.5 0.6 0.6919 -0.014
64.3764 0.514 0.412 0.5753 0.5 0.6 0.692 -0.014
65.0716 0.515 0.412 0.6164 0.5 0.6 0.6952 -0.015
65.7655 0.515 0.439 0.6164 0.5 0.6 0.6934 -0.015
66.4638 0.514 0.441 0.5753 0.5 0.6 0.6993 -0.014
67.1708 0.514 0.415 0.5753 0.5 0.6 0.7068 -0.014
67.8649 0.514 0.412 0.5753 0.5 0.6 0.6972 -0.014
68.5549 0.514 0.412 0.5753 0.5 0.6 0.6905 -0.014
69.2463 0.515 0.412 0.6164 0.5 0.6 0.6891 -0.015
69.9409 0.515 0.439 0.6164 0.5 0.6 0.6917 -0.015
70.6348 0.515 0.442 0.6164 0.5 0.6 0.6961 -0.015
71.327 0.514 0.441 0.5753 0.5 0.6 0.6929 -0.014
72.0202 0.514 0.414 0.5753 0.5 0.6 0.693 -0.014
72.7105 0.514 0.412 0.5753 0.5 0.6 0.6924 -0.014
73.4015 0.514 0.412 0.5753 0.5 0.6 0.6896 -0.014
74.7301 0.514 0.412 0.5753 0.5 0.6 0.6902 -0.014
