T_smith Y_smith T_sund Y_sund
0 0 0 0
4.0000 0.3401 4.0000 0.3811
8.0000 0.6274 8.0000 0.6959
12.0000 0.8701 12.0000 0.9559
16.0000 1.0751 16.0000 1.1707
20.0000 1.2482 20.0000 1.3480
24.0000 1.3945 24.0000 1.4946
28.0000 1.5180 28.0000 1.6156
32.0000 1.6224 32.0000 1.7155
36.0000 1.7105 36.0000 1.7981
40.0000 1.7850 40.0000 1.8663
44.0000 1.8479 44.0000 1.9226
48.0000 1.9010 48.0000 1.9692
52.0000 1.9459 52.0000 2.0076
56.0000 1.9838 56.0000 2.0393
60.0000 2.0158 60.0000 2.0656
64.0000 2.0429 64.0000 2.0872
68.0000 2.0657 68.0000 2.1051
72.0000 2.0850 72.0000 2.1199
76.0000 2.1013 76.0000 2.1321
80.0000 2.1151 80.0000 2.1422
84.0000 2.1267 84.0000 2.1505
88.0000 2.1366 88.0000 2.1574
92.0000 2.1449 92.0000 2.1630
96.0000 2.1519 96.0000 2.1677
100.0000 2.1578 100.0000 2.1716
104.0000 2.1628 104.0000 2.1748
108.0000 2.1670 108.0000 2.1775
112.0000 2.1706 112.0000 2.1796
116.0000 2.1736 116.0000 2.1814
120.0000 2.1761 120.0000 2.1829
124.0000 2.1783 124.0000 2.1842
128.0000 2.1801 128.0000 2.1852
132.0000 2.1817 132.0000 2.1860
136.0000 2.1829 136.0000 2.1867
140.0000 2.1840 140.0000 2.1873
144.0000 2.1850 144.0000 2.1878
148.0000 2.1857 148.0000 2.1881
152.0000 2.1864 152.0000 2.1885
156.0000 2.1870 156.0000 2.1887
160.0000 2.1874 160.0000 2.1890
164.0000 2.1878 164.0000 2.1891
168.0000 2.1882 168.0000 2.1893
172.0000 2.1885 172.0000 2.1894
176.0000 2.1887 176.0000 2.1895
180.0000 2.1889 180.0000 2.1896
184.0000 2.1891 184.0000 2.1897
188.0000 2.1892 188.0000 2.1897
192.0000 2.1893 192.0000 2.1898
196.0000 2.1894 196.0000 2.1898
200.0000 2.1895 200.0000 2.1898
