t level outflow out_valve setpoint in_valve delta_t error
0.1648 0 0 0 0.5 0.6 0.0497 0.5
0.2652 0 0 0 0.5 0.6 0.1118 0.5
0.3676 0 0 0 0.5 0.6 0.104 0.5
0.4665 0 0 0 0.5 0.6 0.0994 0.5
0.5686 0 0 0 0.5 0.6 0.1 0.5
0.6674 0 0 0 0.5 0.6 0.1004 0.5
0.7688 0 0 0 0.5 0.6 0.1 0.5
0.8705 0 0 0 0.5 0.6 0.1027 0.5
0.9725 0 0 0 0.5 0.6 0.1006 0.5
1.0741 0 0 0 0.5 0.6 0.102 0.5
1.1825 0 0 0 0.5 0.6 0.1007 0.5
1.2842 0 0 0 0.5 0.6 0.109 0.5
1.3842 0 0 0 0.5 0.6 0.1016 0.5
1.4834 0 0 0 0.5 0.6 0.0994 0.5
1.5836 0 0 0 0.5 0.6 0.0995 0.5
1.6821 0.001 0 0 0.5 0.6 0.099 0.499
1.782 0.007 0 0 0.5 0.6 0.1005 0.493
1.8845 0.011 0 0 0.5 0.6 0.1 0.489
1.986 0.008 0 0 0.5 0.6 0.101 0.492
2.0851 0.011 0 0 0.5 0.6 0.101 0.489
2.186 0.014 0 0 0.5 0.6 0.0999 0.486
2.2845 0.019 0 0 0.5 0.6 0.101 0.481
2.3866 0.015 0 0 0.5 0.6 0.1006 0.485
2.4861 0.017 0 0 0.5 0.6 0.0999 0.483
2.5855 0.018 0 0 0.5 0.6 0.0995 0.482
2.687 0.019 0 0 0.5 0.6 0.1005 0.481
2.7866 0.02 0 0 0.5 0.6 0.1 0.48
2.8926 0.021 0 0 0.5 0.6 0.1001 0.479
3.003 0.023 0 0 0.5 0.6 0.1164 0.477
3.1181 0.026 0 0 0.5 0.6 0.1096 0.474
3.218 0.028 0 0 0.5 0.6 0.1053 0.472
3.321 0.031 0 0 0.5 0.6 0.101 0.469
3.4216 0.031 0 0 0.5 0.6 0.1017 0.469
3.5191 0.032 0 0 0.5 0.6 0.1 0.468
3.6191 0.034 0 0 0.5 0.6 0.0989 0.466
3.7166 0.037 0 0 0.5 0.6 0.0976 0.463
3.818 0.036 0 0 0.5 0.6 0.1003 0.464
3.9236 0.037 0 0 0.5 0.6 0.1031 0.463
4.0231 0.039 0 0 0.5 0.6 0.1025 0.461
4.1367 0.041 0 0 0.5 0.6 0.1135 0.459
4.2356 0.041 0 0 0.5 0.6 0.0989 0.459
4.3331 0.044 0 0 0.5 0.6 0.0985 0.456
4.4341 0.046 0 0 0.5 0.6 0.099 0.454
4.538 0.047 0 0 0.5 0.6 0.1046 0.453
4.6406 0.049 0 0 0.5 0.6 0.1034 0.451
4.742 0.05 0 0 0.5 0.6 0.0989 0.45
4.852 0.052 0 0 0.5 0.6 0.1094 0.448
4.9512 0.053 0 0 0.5 0.6 0.103 0.447
5.0511 0.054 0 0 0.5 0.6 0.099 0.446
5.1521 0.057 0 0 0.5 0.6 0.1 0.443
5.2666 0.057 0 0 0.5 0.6 0.1031 0.443
5.3647 0.058 0 0 0.5 0.6 0.1117 0.442
5.4641 0.06 0 0 0.5 0.6 0.0975 0.44
5.5641 0.062 0 0 0.5 0.6 0.1005 0.438
5.6667 0.064 0 0 0.5 0.6 0.1029 0.436
5.7641 0.065 0 0 0.5 0.6 0.0976 0.435
5.8671 0.067 0 0 0.5 0.6 0.1017 0.433
5.9656 0.069 0 0 0.5 0.6 0.0989 0.431
6.0681 0.07 0 0 0.5 0.6 0.1025 0.43
6.1693 0.071 0 0 0.5 0.6 0.1014 0.429
6.2706 0.073 0 0 0.5 0.6 0.1004 0.427
6.371 0.074 0 0 0.5 0.6 0.0999 0.426
6.4732 0.076 0 0 0.5 0.6 0.101 0.424
6.5752 0.077 0 0 0.5 0.6 0.1027 0.423
6.6747 0.079 0 0 0.5 0.6 0.0998 0.421
6.7781 0.08 0 0 0.5 0.6 0.1029 0.42
6.881 0.082 0 0 0.5 0.6 0.1011 0.418
6.9816 0.084 0 0 0.5 0.6 0.1049 0.416
7.082 0.085 0 0 0.5 0.6 0.099 0.415
7.1806 0.086 0 0 0.5 0.6 0.1 0.414
7.2835 0.088 0 0 0.5 0.6 0.1005 0.412
7.3816 0.089 0 0 0.5 0.6 0.1 0.411
7.4877 0.091 0 0 0.5 0.6 0.1006 0.409
7.5877 0.092 0 0 0.5 0.6 0.104 0.408
7.6886 0.094 0 0 0.5 0.6 0.1014 0.406
7.7918 0.095 0 0 0.5 0.6 0.1037 0.405
7.8945 0.097 0 0 0.5 0.6 0.102 0.403
7.9931 0.098 0 0 0.5 0.6 0.1004 0.402
8.0981 0.1 0 0 0.5 0.6 0.1011 0.4
8.1986 0.101 0 0 0.5 0.6 0.103 0.399
8.2981 0.103 0 0 0.5 0.6 0.101 0.397
8.3976 0.104 0 0 0.5 0.6 0.099 0.396
8.4998 0.106 0 0 0.5 0.6 0.1 0.394
8.5987 0.107 0 0 0.5 0.6 0.1014 0.393
8.6992 0.109 0 0 0.5 0.6 0.101 0.391
8.7992 0.11 0 0 0.5 0.6 0.0986 0.39
8.9006 0.112 0 0 0.5 0.6 0.1 0.388
9.0001 0.113 0 0 0.5 0.6 0.1016 0.387
9.0991 0.115 0 0 0.5 0.6 0.099 0.385
9.1981 0.116 0 0 0.5 0.6 0.0985 0.384
9.2987 0.118 0 0 0.5 0.6 0.1 0.382
9.4007 0.119 0 0 0.5 0.6 0.103 0.381
9.4996 0.121 0 0 0.5 0.6 0.0989 0.379
9.5996 0.122 0 0 0.5 0.6 0.0995 0.378
9.7008 0.124 0 0 0.5 0.6 0.1014 0.376
9.8002 0.125 0 0 0.5 0.6 0.0995 0.375
9.8989 0.127 0 0 0.5 0.6 0.0986 0.373
9.9983 0.128 0 0 0.5 0.6 0.1005 0.372
10.0971 0.13 0 0 0.5 0.6 0.0977 0.37
10.1957 0.131 0 0 0.5 0.6 0.0981 0.369
10.2946 0.132 0 0 0.5 0.6 0.0994 0.368
10.3941 0.134 0 0 0.5 0.6 0.099 0.366
10.5043 0.135 0 0 0.5 0.6 0.1045 0.365
10.6038 0.137 0 0 0.5 0.6 0.1057 0.363
10.7036 0.138 0 0 0.5 0.6 0.0993 0.362
10.8032 0.14 0 0 0.5 0.6 0.0995 0.36
10.9027 0.142 0 0 0.5 0.6 0.1 0.358
11.0028 0.143 0 0 0.5 0.6 0.0985 0.357
11.1063 0.144 0 0 0.5 0.6 0.1027 0.356
11.2118 0.146 0 0 0.5 0.6 0.1018 0.354
11.3106 0.147 0 0 0.5 0.6 0.1054 0.353
11.4104 0.149 0 0 0.5 0.6 0.0991 0.351
11.5107 0.15 0 0 0.5 0.6 0.0994 0.35
11.6092 0.152 0 0 0.5 0.6 0.0995 0.348
11.7092 0.153 0 0 0.5 0.6 0.0987 0.347
11.8087 0.154 0 0 0.5 0.6 0.0998 0.346
11.9092 0.156 0 0 0.5 0.6 0.0995 0.344
12.0119 0.158 0 0 0.5 0.6 0.106 0.342
12.1119 0.159 0 0 0.5 0.6 0.0977 0.341
12.2161 0.161 0 0 0.5 0.6 0.1025 0.339
12.3147 0.162 0 0 0.5 0.6 0.1017 0.338
12.4212 0.164 0 0 0.5 0.6 0.1057 0.336
12.5243 0.165 0 0 0.5 0.6 0.1038 0.335
12.6238 0.167 0 0 0.5 0.6 0.099 0.333
12.7224 0.168 0 0 0.5 0.6 0.1005 0.332
12.8272 0.17 0 0 0.5 0.6 0.1021 0.33
12.9287 0.171 0 0 0.5 0.6 0.1029 0.329
13.0317 0.173 0 0 0.5 0.6 0.1006 0.327
13.1303 0.174 0 0 0.5 0.6 0.101 0.326
13.2332 0.176 0 0 0.5 0.6 0.0995 0.324
13.3317 0.177 0 0 0.5 0.6 0.1024 0.323
13.4322 0.179 0 0 0.5 0.6 0.0991 0.321
13.5332 0.18 0 0 0.5 0.6 0.1019 0.32
13.6337 0.182 0 0 0.5 0.6 0.1001 0.318
13.7337 0.183 0 0 0.5 0.6 0.1 0.317
13.8342 0.185 0 0 0.5 0.6 0.0995 0.315
13.9357 0.186 0 0 0.5 0.6 0.1025 0.314
14.0412 0.188 0 0 0.5 0.6 0.1013 0.312
14.1422 0.189 0 0 0.5 0.6 0.1037 0.311
14.2436 0.191 0 0 0.5 0.6 0.1009 0.309
14.3473 0.192 0 0 0.5 0.6 0.1051 0.308
14.4483 0.194 0 0 0.5 0.6 0.0989 0.306
14.5508 0.195 0 0 0.5 0.6 0.1023 0.305
14.6511 0.197 0 0 0.5 0.6 0.1024 0.303
14.7483 0.198 0 0 0.5 0.6 0.0979 0.302
14.8543 0.2 0 0 0.5 0.6 0.1051 0.3
14.9517 0.201 0 0 0.5 0.6 0.0999 0.299
15.0519 0.203 0 0 0.5 0.6 0.0985 0.297
15.1522 0.204 0 0 0.5 0.6 0.0999 0.296
15.2522 0.206 0 0 0.5 0.6 0.1005 0.294
15.3532 0.207 0 0 0.5 0.6 0.1 0.293
15.4538 0.208 0 0 0.5 0.6 0.1012 0.292
15.5562 0.21 0 0 0.5 0.6 0.1014 0.29
15.6573 0.211 0 0 0.5 0.6 0.102 0.289
15.7592 0.213 0 0 0.5 0.6 0.1014 0.287
15.8593 0.214 0 0 0.5 0.6 0.1 0.286
15.9572 0.216 0 0 0.5 0.6 0.0996 0.284
16.0564 0.217 0 0 0.5 0.6 0.0977 0.283
16.1658 0.219 0 0 0.5 0.6 0.106 0.281
16.2688 0.221 0 0 0.5 0.6 0.106 0.279
16.3734 0.222 0 0 0.5 0.6 0.101 0.278
16.4748 0.224 0 0 0.5 0.6 0.1055 0.276
16.5735 0.225 0 0 0.5 0.6 0.0997 0.275
16.6823 0.227 0 0 0.5 0.6 0.1039 0.273
16.7797 0.228 0 0 0.5 0.6 0.1029 0.272
16.8847 0.23 0 0 0.5 0.6 0.1015 0.27
16.9837 0.231 0 0 0.5 0.6 0.102 0.269
17.0828 0.233 0 0 0.5 0.6 0.0975 0.267
17.1812 0.234 0 0 0.5 0.6 0.0994 0.266
17.2833 0.235 0 0 0.5 0.6 0.0999 0.265
17.3822 0.237 0 0 0.5 0.6 0.1011 0.263
17.4803 0.238 0 0 0.5 0.6 0.099 0.262
17.5807 0.24 0 0 0.5 0.6 0.0971 0.26
17.6822 0.241 0 0 0.5 0.6 0.1039 0.259
