t level outflow out_valve setpoint in_valve error delta_t
1.0488 0 0 0 0.5 0.6 0.5 0.3496
1.7538 0 0.002 0 0.5 0.6 0.5 0.6997
2.4561 0.012 0 0 0.5 0.6 0.488 0.7082
3.1618 0.021 0 0 0.5 0.6 0.479 0.7022
3.8632 0.032 0 0 0.5 0.6 0.468 0.704
4.5665 0.043 0 0 0.5 0.6 0.457 0.7023
5.2664 0.053 0 0 0.5 0.6 0.447 0.6999
5.9647 0.064 0 0 0.5 0.6 0.436 0.7019
6.6633 0.074 0 0 0.5 0.6 0.426 0.6953
7.3598 0.085 0 0 0.5 0.6 0.415 0.6992
8.0568 0.095 0 0 0.5 0.6 0.405 0.6963
8.7591 0.105 0 0 0.5 0.6 0.395 0.7004
9.46 0.115 0 0 0.5 0.6 0.385 0.7014
10.176 0.126 0 0 0.5 0.6 0.374 0.7073
10.8749 0.136 0 0 0.5 0.6 0.364 0.7091
11.5759 0.147 0 0 0.5 0.6 0.353 0.699
12.2741 0.157 0 0 0.5 0.6 0.343 0.7006
12.9784 0.168 0 0 0.5 0.6 0.332 0.7036
13.6814 0.177 0 0 0.5 0.6 0.323 0.7006
14.3839 0.188 0 0 0.5 0.6 0.312 0.7019
15.0993 0.198 0 0 0.5 0.6 0.302 0.7062
16.0332 0.211 0 0 0.5 0.6 0.289 0.8341
16.7324 0.223 0 0 0.5 0.6 0.277 0.8092
17.4384 0.233 0 0 0.5 0.6 0.267 0.7028
18.1403 0.244 0 0 0.5 0.6 0.256 0.7044
18.8405 0.254 0 0 0.5 0.6 0.246 0.702
19.5415 0.264 0 0 0.5 0.6 0.236 0.6989
20.2395 0.275 0 0 0.5 0.6 0.225 0.7014
20.9426 0.285 0 0 0.5 0.6 0.215 0.7003
21.6444 0.296 0 0 0.5 0.6 0.204 0.6999
22.3458 0.306 0 0 0.5 0.6 0.194 0.7052
23.0452 0.316 0 0 0.5 0.6 0.184 0.6972
23.7427 0.326 0 0 0.5 0.6 0.174 0.6995
24.4479 0.337 0 0 0.5 0.6 0.163 0.7059
25.2579 0.349 0 0 0.5 0.6 0.151 0.8103
26.1627 0.361 0 0 0.5 0.6 0.139 0.813
27.086 0.374 0 0 0.5 0.6 0.126 0.9083
28.0043 0.388 0 0 0.5 0.6 0.112 0.9244
28.9237 0.401 0 0 0.5 0.6 0.099 0.9197
29.7471 0.415 0 0 0.5 0.6 0.085 0.9236
30.4478 0.425 0 0 0.5 0.6 0.075 0.6977
31.1487 0.436 0 0 0.5 0.6 0.064 0.702
31.8496 0.446 0 0 0.5 0.6 0.054 0.7016
