t level outflow out_valve setpoint in_valve delta_t error
1.0412 0 0 0 0.5 0.6 0.3469 0.5
1.7356 0 0.002 0 0.5 0.6 0.6913 0.5
2.4442 0.012 0 0 0.5 0.6 0.7097 0.488
3.1381 0.021 0 0 0.5 0.6 0.6926 0.479
3.8385 0.031 0 0 0.5 0.6 0.7006 0.469
4.5297 0.041 0 0 0.5 0.6 0.6923 0.459
5.2236 0.052 0 0 0.5 0.6 0.6929 0.448
5.9182 0.063 0 0 0.5 0.6 0.6943 0.437
6.6243 0.073 0 0 0.5 0.6 0.7061 0.427
7.3176 0.083 0 0 0.5 0.6 0.6935 0.417
8.0166 0.094 0 0 0.5 0.6 0.697 0.406
8.7089 0.104 0 0 0.5 0.6 0.6942 0.396
9.4037 0.114 0 0 0.5 0.6 0.6934 0.386
10.0959 0.124 0 0 0.5 0.6 0.6931 0.376
10.7996 0.135 0 0 0.5 0.6 0.7023 0.365
11.4909 0.145 0 0 0.5 0.6 0.6963 0.355
12.1879 0.155 0 0 0.5 0.6 0.6927 0.345
12.8792 0.165 0 0 0.5 0.6 0.6924 0.335
13.5735 0.176 0 0 0.5 0.6 0.6986 0.324
14.2675 0.186 0 0 0.5 0.6 0.6895 0.314
14.9584 0.196 0 0 0.5 0.6 0.694 0.304
15.6507 0.206 0 0 0.5 0.6 0.6894 0.294
16.3445 0.217 0 0 0.5 0.6 0.6938 0.283
17.0364 0.227 0 0 0.5 0.6 0.6915 0.273
17.738 0.237 0 0 0.5 0.6 0.6973 0.263
18.4339 0.248 0 0 0.5 0.6 0.7021 0.252
19.1252 0.258 0 0 0.5 0.6 0.6897 0.242
19.8169 0.268 0 0 0.5 0.6 0.6945 0.232
20.5079 0.278 0 0 0.5 0.6 0.6905 0.222
21.2021 0.289 0 0 0.5 0.6 0.6941 0.211
21.8965 0.299 0 0 0.5 0.6 0.6917 0.201
22.594 0.309 0 0 0.5 0.6 0.6977 0.191
23.2879 0.32 0 0 0.5 0.6 0.6939 0.18
23.9855 0.33 0 0 0.5 0.6 0.6975 0.17
24.6765 0.34 0 0 0.5 0.6 0.6922 0.16
25.3678 0.35 0 0 0.5 0.6 0.69 0.15
26.0568 0.36 0 0 0.5 0.6 0.6929 0.14
26.7473 0.371 0 0 0.5 0.6 0.6898 0.129
27.4363 0.381 0 0 0.5 0.6 0.6879 0.119
28.1334 0.391 0 0 0.5 0.6 0.6916 0.109
28.8264 0.401 0 0 0.5 0.6 0.6979 0.099
29.5189 0.412 0 0 0.5 0.6 0.6934 0.088
30.2097 0.422 0 0 0.5 0.6 0.69 0.078
30.9035 0.432 0 0 0.5 0.6 0.6912 0.068
31.5953 0.443 0 0 0.5 0.6 0.6933 0.057
32.2906 0.452 0 0 0.5 0.6 0.6942 0.048
32.9849 0.463 0 0.0305 0.5 0.6 0.6939 0.037
33.6774 0.473 0.019 0.0607 0.5 0.6 0.6947 0.027
34.3684 0.483 0.039 0.1121 0.5 0.6 0.6895 0.017
35.0591 0.492 0.076 0.1371 0.5 0.6 0.6907 0.008
35.751 0.5 0.095 0.1572 0.5 0.6 0.6918 0
36.4471 0.508 0.111 0.2052 0.5 0.6 0.6938 -0.008
37.1368 0.516 0.144 0.2619 0.5 0.6 0.6941 -0.016
37.8356 0.522 0.186 0.2758 0.5 0.6 0.695 -0.022
38.5305 0.528 0.199 0.3355 0.5 0.6 0.6934 -0.028
39.2239 0.533 0.24 0.3754 0.5 0.6 0.6959 -0.033
39.9173 0.537 0.272 0.415 0.5 0.6 0.6941 -0.037
40.6122 0.541 0.302 0.4781 0.5 0.6 0.6967 -0.041
41.3011 0.544 0.348 0.5202 0.5 0.6 0.6902 -0.044
41.9932 0.545 0.381 0.5328 0.5 0.6 0.6881 -0.045
42.6837 0.546 0.392 0.5861 0.5 0.6 0.6944 -0.046
43.3749 0.547 0.429 0.6405 0.5 0.6 0.6909 -0.047
44.0655 0.546 0.469 0.6441 0.5 0.6 0.6881 -0.046
44.7606 0.545 0.475 0.6866 0.5 0.6 0.6941 -0.045
45.4547 0.544 0.503 0.728 0.5 0.6 0.6945 -0.044
46.1466 0.542 0.533 0.7423 0.5 0.6 0.6914 -0.042
46.8439 0.539 0.543 0.7486 0.5 0.6 0.6915 -0.039
47.5412 0.536 0.547 0.7731 0.5 0.6 0.7041 -0.036
48.2352 0.533 0.562 0.7919 0.5 0.6 0.6935 -0.033
48.9265 0.53 0.574 0.8083 0.5 0.6 0.6921 -0.03
49.6291 0.526 0.584 0.7976 0.5 0.6 0.7029 -0.026
50.3237 0.522 0.576 0.8002 0.5 0.6 0.6969 -0.022
51.018 0.518 0.575 0.7984 0.5 0.6 0.6911 -0.018
51.712 0.515 0.572 0.8191 0.5 0.6 0.6943 -0.015
52.4095 0.511 0.584 0.7918 0.5 0.6 0.6995 -0.011
53.1036 0.507 0.564 0.7782 0.5 0.6 0.6911 -0.007
53.7957 0.504 0.553 0.7871 0.5 0.6 0.6915 -0.004
54.4906 0.5 0.556 0.7479 0.5 0.6 0.6951 0
55.1847 0.497 0.529 0.7491 0.5 0.6 0.6938 0.003
55.8752 0.495 0.526 0.7535 0.5 0.6 0.6951 0.005
56.5688 0.492 0.528 0.7102 0.5 0.6 0.6899 0.008
57.2667 0.49 0.499 0.7096 0.5 0.6 0.6943 0.01
57.9548 0.488 0.495 0.687 0.5 0.6 0.6948 0.012
58.6441 0.486 0.48 0.662 0.5 0.6 0.6892 0.014
59.3354 0.485 0.462 0.661 0.5 0.6 0.6891 0.015
60.0333 0.484 0.46 0.6393 0.5 0.6 0.6977 0.016
60.7265 0.483 0.445 0.6163 0.5 0.6 0.6921 0.017
61.4195 0.483 0.429 0.6181 0.5 0.6 0.6933 0.017
62.1116 0.483 0.429 0.6002 0.5 0.6 0.6923 0.017
62.8063 0.483 0.417 0.5823 0.5 0.6 0.6943 0.017
63.4999 0.483 0.405 0.5644 0.5 0.6 0.6938 0.017
64.1937 0.483 0.393 0.5466 0.5 0.6 0.6939 0.017
64.8873 0.484 0.38 0.5543 0.5 0.6 0.6939 0.016
65.5788 0.485 0.385 0.5436 0.5 0.6 0.6922 0.015
66.2682 0.486 0.379 0.5339 0.5 0.6 0.6916 0.014
66.9672 0.487 0.372 0.5253 0.5 0.6 0.6921 0.013
67.6614 0.488 0.367 0.5174 0.5 0.6 0.6974 0.012
68.3519 0.49 0.362 0.5366 0.5 0.6 0.6941 0.01
69.0424 0.491 0.374 0.5128 0.5 0.6 0.6876 0.009
69.7318 0.492 0.36 0.5093 0.5 0.6 0.691 0.008
70.4278 0.494 0.358 0.5326 0.5 0.6 0.6922 0.006
71.1193 0.495 0.373 0.5127 0.5 0.6 0.693 0.005
71.8134 0.497 0.362 0.5391 0.5 0.6 0.6942 0.003
72.5106 0.498 0.379 0.5222 0.5 0.6 0.7009 0.002
73.2042 0.499 0.37 0.5265 0.5 0.6 0.6868 0.001
73.899 0.501 0.372 0.5566 0.5 0.6 0.7011 -0.001
74.6021 0.502 0.392 0.5446 0.5 0.6 0.6902 -0.002
75.2931 0.502 0.386 0.527 0.5 0.6 0.7036 -0.002
75.985 0.503 0.375 0.5548 0.5 0.6 0.6908 -0.003
76.679 0.504 0.391 0.564 0.5 0.6 0.6923 -0.004
77.377 0.505 0.4 0.5742 0.5 0.6 0.6972 -0.005
78.0686 0.506 0.407 0.5856 0.5 0.6 0.6938 -0.006
78.7603 0.506 0.415 0.5723 0.5 0.6 0.6901 -0.006
79.4595 0.506 0.408 0.5786 0.5 0.6 0.6945 -0.006
80.1569 0.507 0.411 0.6104 0.5 0.6 0.7003 -0.007
80.851 0.507 0.432 0.5984 0.5 0.6 0.6958 -0.007
81.5439 0.507 0.426 0.6058 0.5 0.6 0.6932 -0.007
82.2413 0.507 0.43 0.6131 0.5 0.6 0.6936 -0.007
82.935 0.506 0.435 0.595 0.5 0.6 0.6971 -0.006
83.6262 0.506 0.423 0.6208 0.5 0.6 0.6939 -0.006
84.316 0.506 0.439 0.6271 0.5 0.6 0.6906 -0.006
85.0096 0.506 0.445 0.6334 0.5 0.6 0.6902 -0.006
85.703 0.505 0.449 0.6141 0.5 0.6 0.6968 -0.005
86.3945 0.504 0.437 0.6132 0.5 0.6 0.6904 -0.004
87.0883 0.504 0.435 0.637 0.5 0.6 0.6913 -0.004
87.7791 0.504 0.451 0.6412 0.5 0.6 0.6926 -0.004
88.4707 0.503 0.454 0.6197 0.5 0.6 0.69 -0.003
89.1622 0.502 0.44 0.6169 0.5 0.6 0.6931 -0.002
89.8548 0.502 0.436 0.6386 0.5 0.6 0.6918 -0.002
90.5472 0.502 0.451 0.6407 0.5 0.6 0.6904 -0.002
91.2443 0.501 0.453 0.6172 0.5 0.6 0.6945 -0.001
91.9376 0.5 0.437 0.6122 0.5 0.6 0.6975 0
92.6304 0.5 0.433 0.6317 0.5 0.6 0.6921 0
93.321 0.5 0.445 0.6317 0.5 0.6 0.6921 0
94.0146 0.499 0.445 0.606 0.5 0.6 0.6922 0.001
94.7066 0.499 0.429 0.6246 0.5 0.6 0.6935 0.001
95.3961 0.498 0.439 0.5978 0.5 0.6 0.6898 0.002
96.0919 0.498 0.423 0.6154 0.5 0.6 0.6941 0.002
96.7862 0.498 0.433 0.6133 0.5 0.6 0.6937 0.002
97.4837 0.498 0.432 0.6112 0.5 0.6 0.6944 0.002
98.1761 0.498 0.431 0.6091 0.5 0.6 0.6978 0.002
98.8684 0.497 0.429 0.5813 0.5 0.6 0.6904 0.003
99.56 0.497 0.411 0.5978 0.5 0.6 0.6911 0.003
100.2612 0.498 0.42 0.62 0.5 0.6 0.7029 0.002
100.9646 0.498 0.436 0.5986 0.5 0.6 0.6913 0.002
101.6565 0.497 0.422 0.5711 0.5 0.6 0.7063 0.003
102.3507 0.497 0.404 0.5872 0.5 0.6 0.6901 0.003
103.0455 0.498 0.413 0.6097 0.5 0.6 0.695 0.002
103.7371 0.498 0.428 0.588 0.5 0.6 0.6952 0.002
104.4314 0.498 0.416 0.5859 0.5 0.6 0.6904 0.002
105.1247 0.498 0.413 0.5838 0.5 0.6 0.6939 0.002
105.8188 0.498 0.411 0.5817 0.5 0.6 0.6931 0.002
106.5115 0.499 0.41 0.6052 0.5 0.6 0.6954 0.001
107.2041 0.499 0.425 0.5846 0.5 0.6 0.6907 0.001
107.8981 0.499 0.413 0.5835 0.5 0.6 0.6939 0.001
108.5933 0.499 0.412 0.5825 0.5 0.6 0.6941 0.001
109.2894 0.499 0.411 0.5814 0.5 0.6 0.6939 0.001
109.9831 0.5 0.41 0.6059 0.5 0.6 0.6971 0
110.6772 0.5 0.427 0.5864 0.5 0.6 0.6938 0
111.3709 0.5 0.415 0.5864 0.5 0.6 0.694 0
112.0684 0.5 0.414 0.5864 0.5 0.6 0.6941 0
112.7621 0.5 0.414 0.5864 0.5 0.6 0.697 0
113.4546 0.5 0.414 0.5864 0.5 0.6 0.6905 0
114.1496 0.501 0.414 0.612 0.5 0.6 0.6971 -0.001
114.8434 0.501 0.431 0.5936 0.5 0.6 0.694 -0.001
115.537 0.501 0.42 0.5946 0.5 0.6 0.6938 -0.001
116.2293 0.501 0.42 0.5957 0.5 0.6 0.6935 -0.001
116.9258 0.501 0.421 0.5967 0.5 0.6 0.6896 -0.001
117.6147 0.501 0.421 0.5978 0.5 0.6 0.6955 -0.001
118.3062 0.501 0.422 0.5988 0.5 0.6 0.6924 -0.001
119.0001 0.501 0.423 0.5999 0.5 0.6 0.6913 -0.001
119.6936 0.501 0.424 0.6009 0.5 0.6 0.6937 -0.001
120.3938 0.501 0.424 0.602 0.5 0.6 0.6939 -0.001
121.0827 0.501 0.425 0.603 0.5 0.6 0.6989 -0.001
121.7794 0.501 0.426 0.6041 0.5 0.6 0.6936 -0.001
122.4798 0.501 0.427 0.6051 0.5 0.6 0.6934 -0.001
123.1704 0.501 0.428 0.6062 0.5 0.6 0.6969 -0.001
123.8635 0.5 0.428 0.5816 0.5 0.6 0.6942 0
124.5547 0.5 0.412 0.6012 0.5 0.6 0.6903 0
125.2452 0.501 0.424 0.6269 0.5 0.6 0.6907 -0.001
125.9367 0.5 0.441 0.5826 0.5 0.6 0.6909 0
126.6301 0.5 0.414 0.6022 0.5 0.6 0.694 0
127.3229 0.5 0.424 0.6022 0.5 0.6 0.6941 0
128.0197 0.5 0.425 0.6022 0.5 0.6 0.6907 0
128.7224 0.5 0.425 0.6022 0.5 0.6 0.7072 0
129.4388 0.5 0.425 0.6022 0.5 0.6 0.6938 0
130.1374 0.5 0.425 0.6022 0.5 0.6 0.7179 0
130.8277 0.5 0.425 0.6022 0.5 0.6 0.6933 0
131.524 0.5 0.425 0.6022 0.5 0.6 0.694 0
132.2187 0.5 0.425 0.6022 0.5 0.6 0.695 0
132.9262 0.5 0.425 0.6022 0.5 0.6 0.7011 0
