t	 level	 flow	 fillvalve
0	 0	 0	 750
0.125	 34	 145	 750
0.25	 70	 203	 750
0.375	 101	 240	 750
0.5	 131	 272	 750
0.625	 156	 297	 750
0.75	 183	 321	 750
0.875	 207	 342	 750
1.0	 229	 359	 750
1.125	 251	 376	 750
1.25	 272	 391	 750
1.375	 291	 405	 750
1.5	 309	 417	 750
1.625	 327	 429	 750
1.75	 344	 440	 750
1.875	 361	 451	 750
2.0	 374	 459	 750
2.125	 390	 468	 750
2.25	 405	 477	 750
2.375	 418	 485	 750
2.5	 433	 493	 750
2.625	 445	 500	 750
2.75	 458	 508	 750
2.875	 470	 514	 750
3.0	 483	 521	 750
3.125	 494	 527	 750
3.25	 505	 533	 750
3.375	 516	 539	 750
3.5	 526	 544	 750
3.625	 536	 549	 750
3.75	 545	 554	 750
3.875	 555	 559	 750
4.0	 564	 563	 750
4.125	 573	 568	 750
4.25	 582	 572	 750
4.375	 590	 576	 750
4.5	 597	 579	 750
4.625	 605	 583	 750
4.75	 612	 587	 750
4.875	 619	 590	 750
5.0	 626	 593	 750
5.125	 634	 597	 750
5.25	 640	 600	 750
5.375	 646	 603	 750
5.5	 653	 606	 750
5.625	 659	 609	 750
5.75	 665	 611	 750
5.875	 671	 614	 750
6.0	 676	 617	 750
6.125	 682	 619	 750
6.25	 687	 622	 750
6.375	 693	 624	 750
6.5	 698	 626	 750
6.625	 703	 628	 750
6.75	 707	 630	 750
6.875	 712	 632	 750
7.0	 716	 635	 750
7.125	 721	 636	 750
7.25	 725	 638	 750
7.375	 729	 640	 750
7.5	 733	 642	 750
7.625	 737	 644	 750
7.75	 741	 645	 750
7.875	 744	 647	 750
8.0	 748	 648	 750
8.125	 751	 650	 750
8.25	 755	 651	 750
8.375	 758	 653	 750
8.5	 762	 654	 750
8.625	 764	 656	 750
8.75	 768	 657	 750
8.875	 771	 658	 750
9.0	 774	 659	 750
9.125	 776	 660	 750
9.25	 779	 662	 750
9.375	 781	 663	 750
9.5	 784	 664	 750
9.625	 787	 665	 750
9.75	 789	 666	 750
9.875	 791	 667	 750
10.0	 794	 668	 750
10.125	 796	 669	 750
10.25	 798	 670	 750
10.375	 800	 671	 750
10.5	 802	 672	 750
10.625	 805	 672	 750
10.75	 807	 673	 750
10.875	 808	 674	 750
11.0	 810	 675	 750
11.125	 812	 676	 750
11.25	 814	 676	 750
11.375	 816	 677	 750
11.5	 817	 678	 750
11.625	 819	 679	 750
11.75	 821	 679	 750
11.875	 822	 680	 750
